Number,Python
16310920101,72
16310920102,55
16310920103,57
16310920104,60
16310920105,72
16310920106,60
16310920107,39
16310920108,49
16310920109,56
16310920110,82
16310920111,
16310920112,74
16310920113,81
16310920114,69
16310920115,72
16310920116,77
16310920117,64
16310920118,83
16310920119,82
16310920120,86
16310920121,62
16310920122,60
16310920123,74
16310920124,69
16310920125,46
16310920126,61
16310920127,60
16310920128,60
16310920129,60
16310920131,77
16310920132,45
16310920133,60
16310920134,39
16310920135,63
16310920136,85
16310920137,70
16310920138,85
16310920139,82
16310920140,91
16310920141,68
16310920142,50
16310920143,64
16310920144,66
16310920202,60
16310920203,61
16310920204,63
16310920205,
16310920206,28
16310920207,67
16310920208,60
16310920209,82
16310920210,86
16310920211,60
16310920212,74
16310920213,78
16310920214,78
16310920215,74
16310920216,67
16310920217,45
16310920218,54
16310920219,74
16310920220,54
16310920221,65
16310920222,60
16310920223,45
16310920224,60
16310920225,76
16310920226,62
16310920227,53
16310920228,60
16310920229,
16310920230,47
16310920231,63
16310920232,76
16310920233,68
16310920235,50
16310920236,48
16310920237,69
16310920238,67
16310920239,
16310920240,
16310920241,60
16310920242,66
16310920243,68
16310920244,90
